source	target	label
will get to see	pouvez voir	0
am thinking	me dis	0
are looking forward to that	allez le vouloir	0
are navigating	parcourons	0
's brought into	a ajouté à	0
have been trying to ask	nous sommes posé	0
three zero zero years from now	dans trois zéro zéro ans	0
a day	par jour	0
a little bit	légèrement	0
a lot of	bon nombre de	0
a short period of time	très peu de temps	0
a short while ago	il y a peu	0
a tiny bit	un peu	0
a ways away from	encore loin de	0
able to	en mesure de	0
about	à peu près	0
about	à propos de	0
about	à propos du	0
achieving	réussir	0
across the world	dans le monde entier	0
after	au bout de	0
again	à nouveau	0
all the people in the world	la population mondiale	0
all the way up to	jusqu'à	0
alternatives	solutions de remplacement	0
am i freaking you out	je te fais peur	0
among the very best	celui des meilleurs	0
and	ainsi que	0
and	eh bien	0
and so on	et autres	0
and so on	et des trucs dans le genre	0
another lake	un de ces lacs	0
any	toute	0
anyone	une seule	0
anything	quoi que ce soit	0
area of land	superficie	0
around	aux alentours de	0
around	dans le coin	0
around	ici et là	0
around the world	au niveau mondial	0
around the world	de par le monde	0
arranging it	pour l' arranger	0
as	au fur et à mesure que	0
as	en tant qu'	0
as	tandis que	0
as	à mesure qu'	0
as	à mesure que	0
as a five year-old child	à cinq ans	0
as quickly as i can	aussi vite que possible	0
as well as	autant qu'	0
at the edge	avant-garde	0
at their most active	les plus actifs	0
at their most frail	les plus fragiles	0
back then	à cette époque	0
back then	à l' époque	0
backing out	vous éloignant	0
bands	élastiques	0
barely	tout juste	0
basically	en gros	0
basketball playoff	tableau d' éliminatoires	0
before she died	avant de mourir	0
beforehand	à l' avance	0
boot up	activer	0
bothered to	s' embêtait à	0
breakdown	rupture	0
build	réaliser	0
butchered	égorger	0
came out of that	en est issue	0
central	primordiale	0
childhood doctor	pédiatre	0
circumnavigate	passer au large des	0
collected	récoltés	0
come up with	arriver à	0
complicate	brouiller	0
continually	toujours	0
crude	rustre	0
dealing with	quand on travaille avec	0
delivered me	me a mise au monde	0
did again	avons refait	0
discovered	identifiée	0
does not have one	ne en a pas	0
doing away with	se débarrasser de	0
