source	target	label
had to	ai dû	0
meaning	sens	0
ted	ted	0
chance	chance	0
photo	photo	0
me	me	0
software	logiciel	0
is not that	ne est -ce pas	0
guess	pense que	0
can not help but	ne peuvent pas s' empêcher d'	0
prenatal	prénatal	0
six zero zero	six zéro zéro	0
realize	réaliser	0
web page	page web	0
feel	sentir	0
my time spent	temps que je ai passé	0
interesting	intéressante	0
machines	machines	0
obstacle	obstacle	0
one three zero zero zero	un trois zéro zéro zéro	0
did not	ne ai pas	0
was transformed	s' est transformée	0
there will be	il y en aura	0
need to	devons	0
with	d'	0
words	mots	0
biology	la biologie	0
do	font	0
charming	charmant	0
hard	difficile	0
energy source	source d' énergie	0
many	plusieurs	0
greenland	le groenland	0
picture	une image	0
to the	au	0
edition	édition	0
nasa	la nasa	0
lance armstrong	lance armstrong	0
both	les deux	0
complete	totale	0
shake	secouer	0
intact	intact	0
sea	mer	0
dog	chien	0
show	montre	0
specific	spécifique	0
a lot	beaucoup	0
value	importance	0
come	viens	0
we	on	0
nancy pelosi	nancy pelosi	0
can	peuvent	0
promising	prometteuse	0
the best	le meilleur	0
say	dit	0
maybe	peut-être	0
cartoon application	application de dessin animé	0
while writing	pendant que je écrivais	0
into	en	0
playing	jouer	0
type in	tape	0
saints	saints	0
person	personne	0
over time	avec le temps	0
was afraid that	ai eu peur de	0
microscope	microscope	0
will be	sera	0
dancing	danser	0
manage	gèrent	0
people 's	d' un peuple	0
together	ensemble	0
themselves	eux-mêmes	0
ice	glace	0
absolutely	absolument	0
young	jeunes	0
know	connaissent	0
dropped out	abandonné	0
figured out	découvriez	0
there 's	voilà	0
have been making	avez fait	0
cat	le chat	0
hershey	hershey	0
thank	merci	0
would want	désirons	0
blocks	cubes	0
this is	ça ce est	0
measurable	mesurable	0
truthfully	vraiment	0
disturbed	dérangé	0
part	une partie	0
felix	félix	0
all	tout	0
beauty	la beauté	0
specialized	spécialisées	0
high	haute	0
's	de	0
cancer	le cancer	0
students	les étudiants	0
cold	froids	0
become	devenir	0
encyclopedic	encyclopédique	0
stakes	des enjeux	0
did not view	ne voyaient pas	0
phrase	phrase	0
about	sur	0
as if	comme si	0
soiled	souillée	0
fourth-generation fuels	les carburants de quatrième génération	0
typical	typique	0
the silt	vase	0
sharp	pointu	0
understand	comprendre	0
loved	ont adoré	0
five zero zero zero	cinq zéro zéro zéro	0
fibonacci sequence	suite de fibonacci	0
my	mon	0
a students	étudiants a	0
freeze	gelèrent	0
aimee	aimee	0
into the	en	0
started	avons commencé à	0
quiet	tranquille	0
into the	au	0
flickr images	des images flickr	0
all of us	nous tous	0
of the	des	0
help	aident à	0
solve	résoudre	0
a lot of the	une grande partie du	0
his	son	0
climate change	changement climatique	0
told	ont dit	0
p	p	0
pop-ups	pop-ups	0
data	donnée	0
powerful	puissante	0
in	en	0
say	diront	0
thinking about	penser à	0
will switch on	allumerons	0
make	faisons	0
something rare	quelque chose de rare	0
whether we are	que nous soyons	0
let 's look at	voyons	0
for me	me	0
to me	me	0
bach	bach	0
certain	sûr	0
near antonyms	antonymes proches	0
shock	choc	0
in one nine four six	en un neuf quatre six	0
normalcy	la normalité	0
get me to	me faire	0
re-imagine	réimaginer	0
roughly	en gros	0
double	doubler	0
skills	des compétences	0
would never walk	ne marcheriez jamais	0
the	la	0
stranger	étranger	0
eyes	yeux	0
examples	exemples	0
result	résultat	0
talk about	parle d'	0
existed	existait	0
pun	calembour	0
brought back	a ramené	0
this	l'	0
ever	jamais	0
last	derniers	0
the right	droite	0
emerging	ressortir	0
well	eh bien	0
partnership	partenariat	0
is getting cleaner	est de plus en plus propre	0
sink	sombrer	0
movie	film	0
bond	lien	0
icon	icône	0
carry	transportent	0
mortality chart	tableau de mortalité	0
have	avoir	0
huge	grand	0
anything	tout	0
however	cependant	0
watch	regarder	0
get off	sortir de	0
about	à propos de	0
instances	exemples	0
cold	froid	0
within	d' ici à	0
boot up	démarrer	0
earth	terre	0
that	ce qui	0
stuff	trucs	0
providing	fournir	0
yeast	la levure	0
or older	ou plus	0
steve 's columns	les chroniques de steve	0
happened	est arrivé	0
the way	de la manière qu'	0
side	coté	0
variations	variations	0
of	du	0
putting	mettant	0
error	erreur	0
perceived	perçues	0
might	pourriez	0
iterative	itératif	0
captured	capté	0
remote	éloignées	0
pattie	pattie	0
important	important	0
automation	l' automatisation	0
right away	immédiatement	0
triumphs	triomphes	0
repair	réparent	0
lives	vit	0
application	application	0
others	les autres	0
